clear_fraction,lat,lon,.geo
0.36708862,-15.105171502469757,-68.51001514337531,
0.33417723,-15.105171502469757,-68.50103199053412,
0.2278481,-15.105171502469757,-68.49204883769292,
0.23544304,-15.105171502469757,-68.48306568485172,
0.2658228,-15.105171502469757,-68.47408253201053,
0.29620254,-15.105171502469757,-68.46509937916933,
0.34936708,-15.105171502469757,-68.45611622632813,
0.36708862,-15.105171502469757,-68.44713307348694,
0.36962026,-15.105171502469757,-68.43814992064574,
0.3443038,-15.105171502469757,-68.42916676780456,
0.3113924,-15.105171502469757,-68.42018361496336,
0.35443038,-15.105171502469757,-68.41120046212217,
0.33417723,-15.105171502469757,-68.40221730928097,
0.31898734,-15.105171502469757,-68.39323415643977,
0.38227847,-15.105171502469757,-68.38425100359858,
0.39240506,-15.105171502469757,-68.37526785075738,
0.4278481,-15.105171502469757,-68.36628469791619,
0.4126582,-15.105171502469757,-68.35730154507499,
0.37468356,-15.105171502469757,-68.3483183922338,
0.36455697,-15.105171502469757,-68.3393352393926,
0.4506329,-15.105171502469757,-68.3303520865514,
0.3113924,-15.11415465531095,-68.86934125702312,
0.36202532,-15.11415465531095,-68.86035810418193,
0.35189873,-15.11415465531095,-68.85137495134073,
0.31392404,-15.11415465531095,-68.84239179849953,
0.38734177,-15.11415465531095,-68.83340864565834,
0.38227847,-15.11415465531095,-68.82442549281714,
0.39746836,-15.11415465531095,-68.81544233997595,
0.35696203,-15.11415465531095,-68.80645918713475,
0.2278481,-15.11415465531095,-68.79747603429355,
0.16708861,-15.11415465531095,-68.78849288145236,
0.16455697,-15.11415465531095,-68.77950972861116,
0.20253165,-15.11415465531095,-68.77052657576998,
0.33417723,-15.11415465531095,-68.76154342292878,
0.3063291,-15.11415465531095,-68.75256027008759,
0.31392404,-15.11415465531095,-68.74357711724639,
0.19240506,-15.11415465531095,-68.73459396440519,
0.18734178,-15.11415465531095,-68.725610811564,
0.2556962,-15.11415465531095,-68.7166276587228,
0.15696202,-15.11415465531095,-68.7076445058816,
0.16708861,-15.11415465531095,-68.69866135304041,
0.2734177,-15.11415465531095,-68.68967820019921,
0.20759493,-15.11415465531095,-68.68069504735801,
0.1164557,-15.11415465531095,-68.67171189451682,
0.05822785,-15.11415465531095,-68.66272874167562,
0.07341772,-15.11415465531095,-68.65374558883444,
0.09620253,-15.11415465531095,-68.64476243599324,
0.18227848,-15.11415465531095,-68.63577928315205,
0.21772152,-15.11415465531095,-68.62679613031085,
0.34683543,-15.11415465531095,-68.61781297746965,
0.30886075,-15.11415465531095,-68.60882982462846,
0.22531645,-15.11415465531095,-68.59984667178726,
0.24303797,-15.11415465531095,-68.59086351894607,
0.20253165,-15.11415465531095,-68.58188036610487,
0.121518984,-15.11415465531095,-68.57289721326367,
0.19746836,-15.11415465531095,-68.56391406042248,
0.17974684,-15.11415465531095,-68.55493090758128,
0.1721519,-15.11415465531095,-68.5459477547401,
0.22278482,-15.11415465531095,-68.5369646018989,
0.1721519,-15.11415465531095,-68.5279814490577,
0.22278482,-15.11415465531095,-68.51899829621651,
0.26835442,-15.11415465531095,-68.51001514337531,
0.34683543,-15.11415465531095,-68.50103199053412,
0.32405064,-15.11415465531095,-68.49204883769292,
0.24556962,-15.11415465531095,-68.48306568485172,
0.25822785,-15.11415465531095,-68.47408253201053,
0.2936709,-15.11415465531095,-68.46509937916933,
0.29113925,-15.11415465531095,-68.45611622632813,
0.2987342,-15.11415465531095,-68.44713307348694,
0.321519,-15.11415465531095,-68.43814992064574,
0.36708862,-15.11415465531095,-68.42916676780456,
0.38734177,-15.11415465531095,-68.42018361496336,
0.38227847,-15.11415465531095,-68.41120046212217,
0.37468356,-15.11415465531095,-68.40221730928097,
0.36202532,-15.11415465531095,-68.39323415643977,
0.2936709,-15.11415465531095,-68.38425100359858,
0.28607595,-15.11415465531095,-68.37526785075738,
0.42531645,-15.11415465531095,-68.36628469791619,
0.4177215,-15.11415465531095,-68.35730154507499,
0.4101266,-15.11415465531095,-68.3483183922338,
0.38987342,-15.11415465531095,-68.3393352393926,
0.34683543,-15.11415465531095,-68.3303520865514,
